index,province_state,country_region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
11730,,Thailand,15.0,101.0,2020-03-13,75,1,35,39
11731,,Japan,36.0,138.0,2020-03-13,701,19,118,564
11732,,Singapore,1.2833,103.8333,2020-03-13,200,0,97,103
11733,,Nepal,28.1667,84.25,2020-03-13,1,0,1,0
11734,,Malaysia,2.5,112.5,2020-03-13,197,0,26,171
11735,British Columbia,Canada,49.2827,-123.1207,2020-03-13,64,1,4,59
11736,New South Wales,Australia,-33.8688,151.2093,2020-03-13,92,2,4,86
11737,Victoria,Australia,-37.8136,144.9631,2020-03-13,36,0,8,28
11738,Queensland,Australia,-28.0167,153.4,2020-03-13,35,0,8,27
11739,,Cambodia,11.55,104.9167,2020-03-13,5,0,1,4
11740,,Sri Lanka,7.0,81.0,2020-03-13,6,0,1,5
11741,,Germany,51.0,9.0,2020-03-13,3675,7,46,3622
11742,,Finland,64.0,26.0,2020-03-13,155,0,1,154
11743,,United Arab Emirates,24.0,54.0,2020-03-13,85,0,17,68
11744,,Philippines,13.0,122.0,2020-03-13,64,5,2,57
11745,,India,21.0,78.0,2020-03-13,82,2,4,76
11746,,Italy,43.0,12.0,2020-03-13,17660,1266,1439,14955
11747,,Sweden,63.0,16.0,2020-03-13,814,1,1,812
11748,,Spain,40.0,-4.0,2020-03-13,5232,133,193,4906
11749,South Australia,Australia,-34.9285,138.6007,2020-03-13,16,0,3,13
11750,,Belgium,50.8333,4.0,2020-03-13,559,3,1,555
11751,,Egypt,26.0,30.0,2020-03-13,80,2,27,51
11752,From Diamond Princess,Australia,35.4437,139.638,2020-03-13,0,0,0,0
11753,,Lebanon,33.8547,35.8623,2020-03-13,77,3,1,73
11754,,Iraq,33.0,44.0,2020-03-13,101,9,24,68
11755,,Oman,21.0,57.0,2020-03-13,19,0,9,10
11756,,Afghanistan,33.0,65.0,2020-03-13,7,0,0,7
11757,,Bahrain,26.0275,50.55,2020-03-13,189,0,44,145
11758,,Kuwait,29.5,47.75,2020-03-13,80,0,5,75
11759,,Algeria,28.0339,1.6596,2020-03-13,26,2,8,16
11760,,Croatia,45.1,15.2,2020-03-13,32,0,1,31
11761,,Switzerland,46.8182,8.2275,2020-03-13,1139,11,4,1124
11762,,Austria,47.5162,14.5501,2020-03-13,504,1,6,497
11763,,Israel,31.0,35.0,2020-03-13,161,0,4,157
11764,,Pakistan,30.3753,69.3451,2020-03-13,28,0,2,26
11765,,Brazil,-14.235,-51.9253,2020-03-13,151,0,0,151
11766,,Georgia,42.3154,43.3569,2020-03-13,25,0,0,25
11767,,Greece,39.0742,21.8243,2020-03-13,190,1,0,189
11768,,North Macedonia,41.6086,21.7453,2020-03-13,14,0,1,13
11769,,Norway,60.472,8.4689,2020-03-13,996,0,1,995
11770,,Romania,45.9432,24.9668,2020-03-13,89,0,7,82
11771,,Estonia,58.5953,25.0136,2020-03-13,79,0,0,79
11772,,Netherlands,52.1326,5.2913,2020-03-13,804,10,0,794
11773,,San Marino,43.9424,12.4578,2020-03-13,80,5,0,75
11774,,Belarus,53.7098,27.9534,2020-03-13,27,0,3,24
11775,,Iceland,64.9631,-19.0208,2020-03-13,134,0,1,133
11776,,Lithuania,55.1694,23.8813,2020-03-13,6,0,0,6
11777,,Mexico,23.6345,-102.5528,2020-03-13,12,0,4,8
11778,,New Zealand,-40.9006,174.886,2020-03-13,5,0,0,5
11779,,Nigeria,9.082,8.6753,2020-03-13,2,0,0,2
11780,Western Australia,Australia,-31.9505,115.8605,2020-03-13,14,1,0,13
11781,,Ireland,53.1424,-7.6921,2020-03-13,90,1,0,89
11782,,Luxembourg,49.8153,6.1296,2020-03-13,34,0,0,34
11783,,Monaco,43.7333,7.4167,2020-03-13,2,0,0,2
11784,,Qatar,25.3548,51.1839,2020-03-13,320,0,0,320
11785,,Ecuador,-1.8312,-78.1834,2020-03-13,17,0,0,17
11786,,Azerbaijan,40.1431,47.5769,2020-03-13,15,1,3,11
11787,,Armenia,40.0691,45.0382,2020-03-13,8,0,0,8
11788,,Dominican Republic,18.7357,-70.1627,2020-03-13,5,0,0,5
11789,,Indonesia,-0.7893,113.9213,2020-03-13,69,4,2,63
11790,,Portugal,39.3999,-8.2245,2020-03-13,112,0,1,111
11791,,Andorra,42.5063,1.5218,2020-03-13,1,0,0,1
11792,Tasmania,Australia,-41.4545,145.9707,2020-03-13,5,0,0,5
11793,,Latvia,56.8796,24.6032,2020-03-13,17,0,1,16
11794,,Morocco,31.7917,-7.0926,2020-03-13,7,1,1,5
11795,,Saudi Arabia,24.0,45.0,2020-03-13,86,0,1,85
11796,,Senegal,14.4974,-14.4524,2020-03-13,10,0,1,9
11797,,Argentina,-38.4161,-63.6167,2020-03-13,31,2,0,29
11798,,Chile,-35.6751,-71.543,2020-03-13,43,0,0,43
11799,,Jordan,31.24,36.51,2020-03-13,1,0,1,0
11800,,Ukraine,48.3794,31.1656,2020-03-13,3,1,0,2
11801,,Hungary,47.1625,19.5033,2020-03-13,19,0,0,19
11802,Northern Territory,Australia,-12.4634,130.8456,2020-03-13,1,0,0,1
11803,,Liechtenstein,47.14,9.55,2020-03-13,1,0,0,1
11804,,Poland,51.9194,19.1451,2020-03-13,68,2,0,66
11805,,Tunisia,34.0,9.0,2020-03-13,16,0,0,16
11806,,Bosnia and Herzegovina,43.9159,17.6791,2020-03-13,13,0,0,13
11807,,Slovenia,46.1512,14.9955,2020-03-13,141,0,0,141
11808,,South Africa,-30.5595,22.9375,2020-03-13,24,0,0,24
11809,,Bhutan,27.5142,90.4336,2020-03-13,1,0,0,1
11810,,Cameroon,3.848,11.5021,2020-03-13,2,0,0,2
11811,,Colombia,4.5709,-74.2973,2020-03-13,13,0,0,13
11812,,Costa Rica,9.7489,-83.7534,2020-03-13,23,0,0,23
11813,,Peru,-9.19,-75.0152,2020-03-13,28,0,0,28
11814,,Serbia,44.0165,21.0059,2020-03-13,35,0,0,35
11815,,Slovakia,48.669,19.699,2020-03-13,32,0,0,32
11816,,Togo,8.6195,0.8248,2020-03-13,1,0,0,1
11817,,French Guiana,3.9339,-53.1258,2020-03-13,5,0,0,5
11818,,Malta,35.9375,14.3754,2020-03-13,12,0,1,11
11819,,Martinique,14.6415,-61.0242,2020-03-13,3,0,0,3
11820,,Bulgaria,42.7339,25.4858,2020-03-13,23,1,0,22
11821,,Maldives,3.2028,73.2207,2020-03-13,9,0,0,9
11822,,Bangladesh,23.685,90.3563,2020-03-13,3,0,0,3
11823,,Paraguay,-23.4425,-58.4438,2020-03-13,6,0,0,6
11824,Ontario,Canada,51.2538,-85.3232,2020-03-13,74,0,4,70
11825,Alberta,Canada,53.9333,-116.5765,2020-03-13,29,0,0,29
11826,Quebec,Canada,52.9399,-73.5491,2020-03-13,17,0,0,17
11827,,Albania,41.1533,20.1683,2020-03-13,33,1,0,32
11828,,Cyprus,35.1264,33.4299,2020-03-13,14,0,0,14
11829,,Brunei,4.5353,114.7277,2020-03-13,37,0,0,37
11830,Washington,US,47.4009,-121.4905,2020-03-13,568,37,1,530
11831,New York,US,42.1657,-74.9481,2020-03-13,421,0,0,421
11832,California,US,36.1162,-119.6816,2020-03-13,282,4,6,272
11833,Massachusetts,US,42.2302,-71.5301,2020-03-13,123,0,1,122
11834,Diamond Princess,US,35.4437,139.638,2020-03-13,46,0,0,46
11835,Grand Princess,US,37.6489,-122.6655,2020-03-13,21,0,0,21
11836,Georgia,US,33.0406,-83.6431,2020-03-13,42,1,0,41
11837,Colorado,US,39.0598,-105.3111,2020-03-13,49,0,0,49
11838,Florida,US,27.7663,-81.6868,2020-03-13,50,2,0,48
11839,New Jersey,US,40.2989,-74.521,2020-03-13,29,1,0,28
11840,Oregon,US,44.572,-122.0709,2020-03-13,30,0,0,30
11841,Texas,US,31.0545,-97.5635,2020-03-13,43,0,0,43
11842,Illinois,US,40.3495,-88.9861,2020-03-13,46,0,2,44
11843,Pennsylvania,US,40.5908,-77.2098,2020-03-13,41,0,0,41
11844,Iowa,US,42.0115,-93.2105,2020-03-13,17,0,0,17
11845,Maryland,US,39.0639,-76.8021,2020-03-13,18,0,0,18
11846,North Carolina,US,35.6301,-79.8064,2020-03-13,17,0,0,17
11847,South Carolina,US,33.8569,-80.945,2020-03-13,13,0,0,13
11848,Tennessee,US,35.7478,-86.6923,2020-03-13,26,0,0,26
11849,Virginia,US,37.7693,-78.17,2020-03-13,30,0,0,30
11850,Arizona,US,33.7298,-111.4312,2020-03-13,9,0,1,8
11851,Indiana,US,39.8494,-86.2583,2020-03-13,13,0,0,13
11852,Kentucky,US,37.6681,-84.6701,2020-03-13,14,0,0,14
11853,District of Columbia,US,38.8974,-77.0268,2020-03-13,10,0,0,10
11854,Nevada,US,38.3135,-117.0554,2020-03-13,17,0,0,17
11855,New Hampshire,US,43.4525,-71.5639,2020-03-13,6,0,0,6
11856,Minnesota,US,45.6945,-93.9002,2020-03-13,14,0,0,14
11857,Nebraska,US,41.1254,-98.2681,2020-03-13,13,0,0,13
11858,Ohio,US,40.3888,-82.7649,2020-03-13,13,0,0,13
11859,Rhode Island,US,41.6809,-71.5118,2020-03-13,14,0,0,14
11860,Wisconsin,US,44.2685,-89.6165,2020-03-13,19,0,1,18
11861,Connecticut,US,41.5978,-72.7554,2020-03-13,11,0,0,11
11862,Hawaii,US,21.0943,-157.4983,2020-03-13,2,0,0,2
11863,Oklahoma,US,35.5653,-96.9289,2020-03-13,2,0,0,2
11864,Utah,US,40.15,-111.8624,2020-03-13,9,0,0,9
11865,,Burkina Faso,12.2383,-1.5616,2020-03-13,2,0,0,2
11866,,Holy See,41.9029,12.4534,2020-03-13,1,0,0,1
11867,,Mongolia,46.8625,103.8467,2020-03-13,1,0,0,1
11868,,Panama,8.538,-80.7821,2020-03-13,27,1,0,26
11869,Kansas,US,38.5266,-96.7265,2020-03-13,5,1,0,4
11870,Louisiana,US,31.1695,-91.8678,2020-03-13,36,0,0,36
11871,Missouri,US,38.4561,-92.2884,2020-03-13,2,0,0,2
11872,Vermont,US,44.0459,-72.7107,2020-03-13,2,0,0,2
11873,Alaska,US,61.3707,-152.4044,2020-03-13,1,0,0,1
11874,Arkansas,US,34.9697,-92.3731,2020-03-13,6,0,0,6
11875,Delaware,US,39.3185,-75.5071,2020-03-13,4,0,0,4
11876,Idaho,US,44.2405,-114.4788,2020-03-13,1,0,0,1
11877,Maine,US,44.6939,-69.3819,2020-03-13,1,0,0,1
11878,Michigan,US,43.3266,-84.5361,2020-03-13,16,0,0,16
11879,Mississippi,US,32.7416,-89.6787,2020-03-13,1,0,0,1
11880,Montana,US,46.9219,-110.4544,2020-03-13,1,0,0,1
11881,New Mexico,US,34.8405,-106.2485,2020-03-13,10,0,0,10
11882,North Dakota,US,47.5289,-99.784,2020-03-13,1,0,0,1
11883,South Dakota,US,44.2998,-99.4388,2020-03-13,8,1,0,7
11884,West Virginia,US,38.4912,-80.9545,2020-03-13,0,0,0,0
11885,Wyoming,US,42.756,-107.3025,2020-03-13,1,0,0,1
11886,Hubei,China,30.9756,112.2707,2020-03-13,67786,3062,51553,13171
11887,,Iran,32.0,53.0,2020-03-13,11364,514,2959,7891
11888,,"Korea, South",36.0,128.0,2020-03-13,7979,66,510,7403
11889,France,France,46.2276,2.2137,2020-03-13,3661,79,12,3570
11890,Guangdong,China,23.3417,113.4244,2020-03-13,1356,8,1296,52
11891,Henan,China,33.882,113.614,2020-03-13,1273,22,1249,2
11892,Zhejiang,China,29.1832,120.0934,2020-03-13,1215,1,1197,17
11893,Hunan,China,27.6104,111.7088,2020-03-13,1018,4,1005,9
11894,Anhui,China,31.8257,117.2264,2020-03-13,990,6,984,0
11895,Jiangxi,China,27.614,115.7221,2020-03-13,935,1,934,0
11896,Shandong,China,36.3427,118.1498,2020-03-13,760,7,739,14
11897,Diamond Princess,Cruise Ship,35.4437,139.638,2020-03-13,696,7,325,364
11898,Jiangsu,China,32.9711,119.455,2020-03-13,631,0,630,1
11899,Chongqing,China,30.0572,107.874,2020-03-13,576,6,566,4
11900,Sichuan,China,30.6171,102.7103,2020-03-13,539,3,503,33
11901,Heilongjiang,China,47.862,127.7615,2020-03-13,482,13,446,23
11902,Denmark,Denmark,56.2639,9.5018,2020-03-13,801,0,1,800
11903,Beijing,China,40.1824,116.4142,2020-03-13,436,8,342,86
11904,Shanghai,China,31.202,121.4491,2020-03-13,346,3,324,19
11905,Hebei,China,39.549,116.1306,2020-03-13,318,6,310,2
11906,Fujian,China,26.0789,117.9874,2020-03-13,296,1,295,0
11907,Guangxi,China,23.8298,108.7881,2020-03-13,252,2,243,7
11908,Shaanxi,China,35.1917,108.8701,2020-03-13,245,2,232,11
11909,Yunnan,China,24.974,101.487,2020-03-13,174,2,170,2
11910,Hainan,China,19.1959,109.7453,2020-03-13,168,6,160,2
11911,Guizhou,China,26.8154,106.8748,2020-03-13,146,2,140,4
11912,Tianjin,China,39.3054,117.323,2020-03-13,136,3,132,1
11913,Shanxi,China,37.5777,112.2922,2020-03-13,133,0,133,0
11914,Gansu,China,37.8099,101.0583,2020-03-13,127,2,88,37
11915,Hong Kong,China,22.3,114.2,2020-03-13,134,4,77,53
11916,Liaoning,China,41.2956,122.6085,2020-03-13,125,1,112,12
11917,Jilin,China,43.6661,126.1923,2020-03-13,93,1,91,1
11918,,Czechia,49.8175,15.473,2020-03-13,141,0,0,141
11919,Xinjiang,China,41.1129,85.2401,2020-03-13,76,3,73,0
11920,Inner Mongolia,China,44.0935,113.9448,2020-03-13,75,1,71,3
11921,Ningxia,China,37.2692,106.1655,2020-03-13,75,0,72,3
11922,,Taiwan*,23.7,121.0,2020-03-13,50,1,20,29
11923,,Vietnam,16.0,108.0,2020-03-13,47,0,16,31
11924,,Russia,60.0,90.0,2020-03-13,45,0,3,42
11925,Qinghai,China,35.7452,95.9956,2020-03-13,18,0,18,0
11926,Macau,China,22.1667,113.55,2020-03-13,10,0,10,0
11927,,Moldova,47.4116,28.3699,2020-03-13,6,0,0,6
11928,,Bolivia,-16.2902,-63.5887,2020-03-13,3,0,0,3
11929,Faroe Islands,Denmark,61.8926,-6.9118,2020-03-13,3,0,0,3
11930,St Martin,France,18.0708,-63.0501,2020-03-13,2,0,0,2
11931,,Honduras,15.2,-86.2419,2020-03-13,2,0,0,2
11932,Channel Islands,United Kingdom,49.3723,-2.3644,2020-03-13,2,0,0,2
11933,New Brunswick,Canada,46.5653,-66.4619,2020-03-13,1,0,0,1
11934,Tibet,China,31.6927,88.0924,2020-03-13,1,0,1,0
11935,,Congo (Kinshasa),-4.0383,21.7587,2020-03-13,2,0,0,2
11936,,Cote d'Ivoire,7.54,-5.5471,2020-03-13,1,0,0,1
11937,Saint Barthelemy,France,17.9,-62.8333,2020-03-13,1,0,0,1
11938,,Jamaica,18.1096,-77.2975,2020-03-13,8,0,0,8
11939,,Reunion,-21.1151,55.5364,2020-03-13,5,0,0,5
11940,,Turkey,38.9637,35.2433,2020-03-13,5,0,0,5
11941,Gibraltar,United Kingdom,36.1408,-5.3536,2020-03-13,1,0,1,0
11942,,Cuba,22.0,-80.0,2020-03-13,4,0,0,4
11943,,Guyana,5.0,-58.75,2020-03-13,1,1,0,0
11944,Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-13,1,0,0,1
11945,United Kingdom,United Kingdom,55.3781,-3.4360000000000004,2020-03-13,798,8,18,772
11946,,Kazakhstan,48.0196,66.9237,2020-03-13,4,0,0,4
11947,French Polynesia,France,-17.6797,149.4068,2020-03-13,3,0,0,3
11948,,Cayman Islands,19.3133,-81.2546,2020-03-13,1,0,0,1
11949,,Guadeloupe,16.265,-61.551,2020-03-13,1,0,0,1
11950,Manitoba,Canada,53.7609,-98.8139,2020-03-13,4,0,0,4
11951,Saskatchewan,Canada,52.9399,-106.4509,2020-03-13,2,0,0,2
11952,,Ethiopia,9.145,40.4897,2020-03-13,1,0,0,1
11953,,Sudan,12.8628,30.2176,2020-03-13,1,1,0,0
11954,,Guinea,9.9456,-9.6966,2020-03-13,1,0,0,1
11955,,Aruba,12.5211,-69.9683,2020-03-13,2,0,0,2
11956,Grand Princess,Canada,37.6489,-122.6655,2020-03-13,2,0,0,2
11957,,Kenya,-0.0236,37.9062,2020-03-13,1,0,0,1
11958,,Antigua and Barbuda,17.0608,-61.7964,2020-03-13,1,0,0,1
11959,Alabama,US,32.3182,-86.9023,2020-03-13,5,0,0,5
